Carrier,ArrDelay,Month,DayofMonth,Ratio,Total Delay
AA,93,6,21,0.3006,481
AA,144,6,22,0.4537,765
AA,96,6,23,0.3911,673
AA,18,6,24,0.2668,456
AA,33,6,25,0.3487,596
AA,18,6,26,0.3955,681
AA,40,6,27,0.3987,687
AA,86,6,28,0.3752,601
AA,21,6,29,0.4508,760
AA,17,6,30,0.3020,520
AA,21,7,1,0.1965,336
AA,80,7,2,0.3002,522
AA,71,7,3,0.2076,361
AA,16,7,4,0.1514,201
AA,33,7,5,0.1317,213
AA,57,7,6,0.2624,448
AA,64,7,7,0.4200,732
AA,42,7,8,0.3498,609
AA,126,7,9,0.3529,614
AA,21,7,10,0.2434,424
AA,22,7,11,0.2724,474
AA,18,7,12,0.3311,537
AA,24,7,13,0.3318,566
AA,40,7,14,0.3230,563
AA,16,7,15,0.3155,550
AA,61,7,16,0.2343,408
AA,26,7,17,0.2260,394
AA,21,7,18,0.2830,493
AA,24,7,19,0.3420,555
AA,176,7,20,0.2755,470
AA,37,7,21,0.2423,422
AA,18,7,22,0.2683,468
AA,73,7,23,0.2918,508
AA,131,7,24,0.4265,743
AA,32,7,25,0.2351,410
AA,42,7,26,0.2065,335
AA,300,7,27,0.3077,525
AA,19,7,28,0.3005,524
AA,18,7,29,0.2174,379
AA,73,7,30,0.4062,706
AA,18,7,31,0.3454,602
AA,44,8,1,0.3364,588
AA,30,8,2,0.3190,520
AA,262,8,3,0.2607,446
AA,42,8,4,0.2864,500
AA,77,8,5,0.2768,483
AA,89,8,6,0.2150,375
AA,32,8,7,0.3240,566
AA,28,8,8,0.2633,460
AA,214,8,9,0.2629,428
AA,94,8,10,0.3189,546
AA,196,8,11,0.3438,601
AA,23,8,12,0.2797,488
AA,46,8,13,0.1759,307
AA,260,8,14,0.2887,504
AA,52,8,15,0.5598,978
AA,28,8,16,0.2558,417
AA,25,8,17,0.2319,397
AA,26,8,18,0.2872,502
AA,18,8,19,0.2330,407
AA,20,8,20,0.4372,763
AA,98,8,21,0.2887,504
AA,20,8,22,0.2989,521
AA,238,8,23,0.2234,364
AA,18,8,24,0.1480,253
AA,29,8,25,0.1873,327
AA,26,8,26,0.1644,287
AA,23,8,27,0.1794,313
AA,37,8,28,0.2160,377
AA,18,8,29,0.3198,559
AA,24,8,30,0.1698,266
AA,21,8,31,0.1220,194
AA,50,9,1,0.1529,261
AA,28,9,2,0.1752,301
AA,29,9,3,0.1308,213
AA,36,9,4,0.2190,359
AA,35,9,5,0.1382,227
AA,17,9,6,0.1469,209
AA,20,9,7,0.1196,190
AA,19,9,8,0.2389,391
AA,142,9,9,0.2446,400
AA,15,9,10,0.1174,192
AA,18,9,11,0.1293,212
AA,31,9,12,0.2761,453
AA,39,9,13,0.2985,425
AA,70,9,14,0.3054,485
AA,20,9,15,0.1160,190
AA,100,9,16,0.0930,152
AA,16,9,17,0.0910,149
AA,74,9,18,0.0976,160
AA,68,9,19,0.1292,212
AA,58,9,20,0.0837,119
AA,24,9,21,0.2117,336
AA,23,9,22,0.1485,243
AA,20,9,23,0.1076,176
AA,82,9,24,0.1847,302
AA,20,9,25,0.2001,328
AA,15,9,26,0.2584,424
AA,42,9,27,0.1390,198
AA,33,9,28,0.1764,280
AA,21,9,29,0.1996,327
AA,23,9,30,0.1443,236
AA,97,10,1,0.0858,140
AA,38,10,2,0.0967,159
AA,17,10,3,0.1405,231
AA,17,10,4,0.0863,123
AA,16,10,5,0.1535,244
AA,107,10,6,0.1726,283
AA,17,10,7,0.1454,238
AA,19,10,8,0.1411,231
AA,31,10,9,0.1709,281
AA,16,10,10,0.1253,206
AA,19,10,11,0.1403,200
AA,27,10,12,0.1289,205
AA,25,10,13,0.1128,185
AA,29,10,14,0.1429,234
AA,20,10,15,0.3091,506
AA,15,10,16,0.1873,308
AA,287,10,17,0.1290,212
AA,19,10,18,0.0954,136
AA,16,10,19,0.1465,233
AA,138,10,20,0.1530,251
AA,17,10,21,0.1380,226
AA,19,10,22,0.2156,353
AA,28,10,23,0.1691,278
AA,25,10,24,0.1837,302
AA,57,10,25,0.1634,233
AA,20,10,26,0.2210,351
AA,25,10,27,0.2778,455
AA,29,10,28,0.1759,288
AA,41,10,29,0.1179,193
AA,49,10,30,0.1509,248
AA,22,10,31,0.1265,208
AA,59,11,1,0.1142,159
AA,57,11,2,0.1220,183
AA,29,11,3,0.1186,185
AA,60,11,4,0.0943,146
AA,21,11,5,0.1347,210
AA,83,11,6,0.2214,346
AA,23,11,7,0.2283,357
AA,72,11,8,0.1278,169
AA,16,11,9,0.1099,167
AA,28,11,10,0.1628,254
